評語
積極參與各項學習活動
按部就班完成作業
具有良好表達能力
積極發問主動求知
善於表現自我的特色
準時繳交作業
上課很有反應
能積極投入團體活動
能適當分享自己的生活經驗和想法
能以適當的方式簡捷扼要的報告
能融會貫通、舉一反三
資料蒐集認真
用具準備齊全
態度謙恭有禮
能友愛同學
能依自己觀察，真誠給予回饋
能欣賞自己的特點自我激勵
在團體中具有領導能力
樂於和伙伴分工合作
對他人的優秀表現能給予適當的讚賞
能指出一項作品的優缺點
具良好的表達能力
頗具有自行設計與發揮創意的能力
具有自信，積極培養樂觀進取人生觀
具有廣泛的才能
上課用心投入
服從指導完成每項工作
個性善良敦厚
用心完成份內的工作
對學習充滿興趣
具備綜合歸納能力
態度謙恭有禮
會主動協助他人
具有良好人際互動特質
個性開朗樂觀
懂得自律，扮演好自己的角色
具有同理心，會主動關心周圍的人
手藝好
