"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14218,"\345\270\200","\343\204\227\343\204\232","za","za","tza","tsa",0,0
14219,"\345\246\277","\343\204\234","e","e","e","e",0,0
14220,"\347\256\263","\343\204\206\343\204\247\343\204\245\313\212","ping","ping","ping","ping",0,0
14221,"\347\257\227","\343\204\251\343\204\235\313\213","yue","yue","yue","yueh",0,0
14222,"\351\211\264","\343\204\220\343\204\247\343\204\242\313\213","jian","jian","jian","chien",0,0
14223,"\344\272\277","\343\204\247\313\213","yi","yi","yi","yi",0,0
14224,"\347\275\200","\343\204\223\343\204\240\313\213","jhao","zhao","jau","chao",0,0
14225,"\347\276\200","\343\204\214\343\204\247\343\204\241\313\207","liou","liu","liou","liu",0,0
14226,"\346\217\224","\343\204\227\343\204\250\343\204\245\313\207","zong","zong","tzung","tsung",0,0
14227,"\346\217\224","\343\204\231\343\204\250\343\204\245","song","song","sung","sung",0,0
14228,"\350\246\220","\343\204\220\343\204\247\343\204\240\313\213","jiao","jiao","jiau","chiao",0,0
14229,"\350\246\220","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
14230,"\346\226\223","\343\204\214\343\204\242\313\212","lan","lan","lan","lan",0,0
14231,"\346\266\266","\343\204\212\343\204\250\343\204\233","tuo","tuo","tuo","to",0,0
14232,"\346\266\266","\343\204\212\343\204\250\343\204\233\313\213","tuo","tuo","tuo","to",0,0
14233,"\345\214\266","\343\204\220\343\204\247\343\204\241\313\213","jiou","jiu","jiou","chiu",0,0
14234,"\350\276\223","\343\204\225\343\204\250","shu","shu","shu","shu",0,0
14235,"\351\253\242","\343\204\211\343\204\247\313\212","di","di","di","ti",0,0
14236,"\350\214\243","\343\204\250\313\212","wu","wu","wu","wu",0,0
14237,"\346\245\241","\343\204\251\313\212","yu","yu","yu","yu",0,0
14238,"\351\214\203","\343\204\206\343\204\247","pi","pi","pi","pi",0,0
14239,"\346\220\201","\343\204\215\343\204\234","ge","ge","ge","ke",0,0
14240,"\346\220\201","\343\204\215\343\204\234\313\212","ge","ge","ge","ke",0,0
14241,"\351\261\232","\343\204\222\343\204\247\313\207","si","xi","shi","hsi",0,0
14242,"\350\275\212","\343\204\250\343\204\237\313\213","wei","wei","wei","wei",0,0
14243,"\345\223\271","\343\204\210\343\204\250\313\212","fu","fu","fu","fu",0,0
14244,"\351\261\257","\343\204\217\343\204\250\313\213","hu","hu","hu","hu",0,0
14245,"\347\277\231","\343\204\217\343\204\250\343\204\237\313\213","huei","hui","huei","hui",0,0
14246,"\351\271\226","\343\204\217\343\204\234\313\212","he","he","he","he",0,0
14247,"\347\236\224","\343\204\227\343\204\234\313\212","ze","ze","tze","tse",0,0
14248,"\346\244\233","\343\204\217\343\204\250\343\204\232","hua","hua","hua","hua",0,0
14249,"\346\227\231","\343\204\210\343\204\242","fan","fan","fan","fan",0,0
14250,"\350\224\262","\343\204\216\343\204\241\313\213","kou","kou","kou","kou",0,0
14251,"\346\253\211","\343\204\224\343\204\250\313\212","chu","chu","chu","chu",0,0
14252,"\350\205\230","\343\204\215\343\204\250\343\204\233\313\212","guo","guo","guo","kuo",0,0
14253,"\345\261\203","\343\204\222\343\204\247\313\213","si","xi","shi","hsi",0,0
14254,"\350\260\207","\343\204\231\343\204\250\343\204\237\313\213","suei","sui","suei","sui",0,0
14255,"\346\256\220","\343\204\231\343\204\250\313\213","su","su","su","su",0,0
