"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
1,"\344\270\200","\343\204\247","yi","yi","yi","yi",0,0
2,"\344\271\231","\343\204\247\313\207","yi","yi","yi","yi",0,0
3,"\344\270\201","\343\204\211\343\204\247\343\204\245","ding","ding","ding","ting",11,0
4,"\344\270\203","\343\204\221\343\204\247","ci","qi","chi","chi",0,0
5,"\344\271\203","\343\204\213\343\204\236\313\207","nai","nai","nai","nai",0,0
6,"\344\271\235","\343\204\220\343\204\247\343\204\241\313\207","jiou","jiu","jiou","chiu",0,0
7,"\344\272\206","\343\204\214\343\204\234\313\231","le","le","le","le",0,0
8,"\344\272\214","\343\204\246\313\213","er","er","er","erh",0,0
9,"\344\272\272","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,0
10,"\345\204\277","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,0
11,"\345\205\245","\343\204\226\343\204\250\313\213","ru","ru","ru","ju",0,0
12,"\345\205\253","\343\204\205\343\204\232","ba","ba","ba","pa",0,0
13,"\345\207\240","\343\204\220\343\204\247","ji","ji","ji","chi",0,0
14,"\345\210\200","\343\204\211\343\204\240","dao","dao","dau","tao",0,0
15,"\345\210\201","\343\204\211\343\204\247\343\204\240","diao","diao","diau","tiao",10,0
16,"\345\212\233","\343\204\214\343\204\247\313\213","li","li","li","li",10,1
17,"\345\214\225","\343\204\205\343\204\247\313\207","bi","bi","bi","pi",0,0
18,"\345\215\201","\343\204\225\313\212","shih","shi","shr","shih",0,0
19,"\345\215\234","\343\204\205\343\204\250\313\207","bu","bu","bu","pu",10,0
20,"\345\217\210","\343\204\247\343\204\241\313\213","you","you","you","yu",0,0
21,"\344\270\211","\343\204\231\343\204\242","san","san","san","san",0,0
22,"\344\270\213","\343\204\222\343\204\247\343\204\232\313\213","sia","xia","shia","hsia",0,0
23,"\344\270\210","\343\204\223\343\204\244\313\213","jhang","zhang","jang","chang",0,0
24,"\344\270\212","\343\204\225\343\204\244\313\207","shang","shang","shang","shang",0,0
25,"\344\270\253","\343\204\247\343\204\232","ya","ya","ya","ya",0,0
26,"\344\270\270","\343\204\250\343\204\242\313\212","wan","wan","wan","wan",0,0
27,"\345\207\241","\343\204\210\343\204\242\313\212","fan","fan","fan","fan",0,2
28,"\344\271\205","\343\204\220\343\204\247\343\204\241\313\207","jiou","jiu","jiou","chiu",0,0
29,"\344\271\210","\343\204\247\343\204\240","yao","yao","yau","yao",0,0
30,"\344\271\237","\343\204\247\343\204\235\313\207","ye","ye","ya","yeh",0,0
31,"\344\271\236","\343\204\221\343\204\247\313\207","ci","qi","chi","chi",0,0
32,"\344\272\216","\343\204\251\313\212","yu","yu","yu","yu",10,0
33,"\344\272\241","\343\204\250\313\212","wu","wu","wu","wu",0,0
34,"\345\205\200","\343\204\250\313\213","wu","wu","wu","wu",0,0
35,"\345\210\203","\343\204\226\343\204\243\313\213","ren","ren","ren","jen",0,0
36,"\345\213\272","\343\204\225\343\204\240\313\212","shao","shao","shau","shao",0,0
37,"\345\215\203","\343\204\221\343\204\247\343\204\242","cian","qian","chian","chien",0,0
38,"\345\217\211","\343\204\224\343\204\232","cha","cha","cha","cha",0,0
39,"\345\217\243","\343\204\216\343\204\241\313\207","kou","kou","kou","kou",0,0
40,"\345\234\237","\343\204\212\343\204\250\313\207","tu","tu","tu","tu",0,0
41,"\345\243\253","\343\204\225\313\213","shih","shi","shr","shih",0,0
42,"\345\244\225","\343\204\222\343\204\247\313\213","si","xi","shi","hsi",0,0
43,"\345\244\247","\343\204\211\343\204\232\313\213","da","da","da","ta",0,7
44,"\345\245\263","\343\204\213\343\204\251\313\207","nyu","nv","niu","nu",0,0
45,"\345\255\220","\343\204\227\313\231","zih","zi","tz","tzu",0,1
46,"\345\255\221","\343\204\220\343\204\247\343\204\235\313\212","jie","jie","jie","chieh",0,0
47,"\345\255\223","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
48,"\345\257\270","\343\204\230\343\204\250\343\204\243\313\213","cun","cun","tsuen","tsun",0,0
49,"\345\260\217","\343\204\222\343\204\247\343\204\240\313\207","siao","xiao","shiau","hsiao",0,0
50,"\345\260\242","\343\204\250\343\204\244","wang","wang","wang","wang",0,0
51,"\345\260\270","\343\204\225","shih","shi","shr","shih",0,0
52,"\345\261\261","\343\204\225\343\204\242","shan","shan","shan","shan",0,0
53,"\345\267\235","\343\204\224\343\204\250\343\204\242","chuan","chuan","chuan","chuan",0,0
54,"\345\267\245","\343\204\215\343\204\250\343\204\245","gong","gong","gung","kung",0,0
55,"\345\267\261","\343\204\220\343\204\247\313\207","ji","ji","ji","chi",0,0
56,"\345\267\262","\343\204\247\313\207","yi","yi","yi","yi",0,0
57,"\345\267\263","\343\204\231\313\213","sih","si","sz","ssu",0,0
58,"\345\267\276","\343\204\220\343\204\247\343\204\243","jin","jin","jin","chin",0,0
59,"\345\271\262","\343\204\215\343\204\242","gan","gan","gan","kan",0,0
60,"\345\273\276","\343\204\215\343\204\250\343\204\245\313\207","gong","gong","gung","kung",0,0
61,"\345\274\213","\343\204\247\313\213","yi","yi","yi","yi",0,0
62,"\345\274\223","\343\204\215\343\204\250\343\204\245","gong","gong","gung","kung",0,0
63,"\346\211\215","\343\204\230\343\204\236\313\212","cai","cai","tsai","tsai",10,0
64,"\344\270\221","\343\204\224\343\204\241\313\207","chou","chou","chou","chou",0,0
65,"\344\270\220","\343\204\215\343\204\236\313\213","gai","gai","gai","kai",0,0
66,"\344\270\215","\343\204\205\343\204\250\313\212","bu","bu","bu","pu",0,0
67,"\344\270\255","\343\204\223\343\204\250\343\204\245","jhong","zhong","jung","chung",0,0
68,"\344\270\260","\343\204\210\343\204\245","fong","feng","feng","feng",0,0
69,"\344\270\271","\343\204\211\343\204\242","dan","dan","dan","tan",0,0
70,"\344\271\213","\343\204\223","jhih","zhi","jr","chih",0,2
71,"\345\260\271","\343\204\247\343\204\243\313\207","yin","yin","yin","yin",10,0
72,"\344\272\210","\343\204\251\313\212","yu","yu","yu","yu",0,3
73,"\344\272\221","\343\204\251\343\204\243\313\212","yun","yun","yun","yun",0,0
74,"\344\272\225","\343\204\220\343\204\247\343\204\245\313\207","jing","jing","jing","ching",10,0
75,"\344\272\222","\343\204\217\343\204\250\313\213","hu","hu","hu","hu",0,0
76,"\344\272\224","\343\204\250\313\207","wu","wu","wu","wu",0,0
77,"\344\272\242","\343\204\216\343\204\244\313\213","kang","kang","kang","kang",0,0
78,"\344\273\201","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,2
79,"\344\273\200","\343\204\225\313\212","shih","shi","shr","shih",0,0
80,"\344\273\203","\343\204\211\343\204\247\343\204\245","ding","ding","ding","ting",0,0
81,"\344\273\206","\343\204\206\343\204\250","pu","pu","pu","pu",0,0
82,"\344\273\207","\343\204\221\343\204\247\343\204\241\313\212","aiou","qiu","chiou","chiu",10,0
83,"\344\273\215","\343\204\226\343\204\245\313\212","reng","reng","reng","jeng",0,0
84,"\344\273\212","\343\204\220\343\204\247\343\204\243","jin","jin","jin","chin",0,0
85,"\344\273\213","\343\204\220\343\204\247\343\204\235\313\213","jie","jie","jie","chieh",10,0
86,"\344\273\204","\343\204\227\343\204\234\313\213","ze","ze","tze","tse",0,0
87,"\345\205\203","\343\204\251\343\204\242\313\212","yuan","yuan","yuan","yuan",10,66
88,"\345\205\201","\343\204\251\343\204\243\313\207","yun","yun","yun","yun",0,0
89,"\345\205\247","\343\204\213\343\204\237\313\213","nei","nei","nei","nei",0,0
90,"\345\205\255","\343\204\214\343\204\247\343\204\241\313\213","liou","liu","liou","liu",0,0
91,"\345\205\256","\343\204\222\343\204\247","si","xi","shi","hsi",0,0
92,"\345\205\254","\343\204\215\343\204\250\343\204\245","gong","gong","gung","kung",0,0
93,"\345\206\227","\343\204\226\343\204\250\343\204\245\313\207","roug","rong","rung","jung",0,0
94,"\345\207\266","\343\204\222\343\204\251\343\204\245","syong","xiong","shiung","hsiung",0,0
95,"\345\210\206","\343\204\210\343\204\243","fen","fen","fen","fen",0,0
96,"\345\210\207","\343\204\221\343\204\247\343\204\235","cie","qie","chie","chieh",0,0
97,"\345\210\210","\343\204\247\313\213","yi","yi","yi","yi",0,0
98,"\345\213\273","\343\204\251\343\204\243\313\212","yun","yun","yun","yun",0,0
99,"\345\213\276","\343\204\215\343\204\241","gou","gou","gou","kou",0,0
100,"\345\213\277","\343\204\250\313\213","wu","wu","wu","wu",0,0
101,"\345\214\226","\343\204\217\343\204\250\343\204\232\313\213","hua","hua","hua","hua",0,0
102,"\345\214\271","\343\204\206\343\204\247","pi","pi","pi","pi",0,0
103,"\345\215\210","\343\204\250\313\207","wu","wu","wu","wu",0,0
104,"\345\215\207","\343\204\225\343\204\245","sheng","sheng","sheng","sheng",0,10
105,"\345\215\205","\343\204\231\343\204\232\313\213","sa","sa","sa","sa",0,0
106,"\345\215\236","\343\204\205\343\204\247\343\204\242\313\213","bian","bian","bian","pien",0,0
107,"\345\216\204","\343\204\234\313\213","e","e","e","e",0,0
108,"\345\217\213","\343\204\247\343\204\241\313\207","you","you","you","yu",0,0
109,"\345\217\212","\343\204\220\343\204\247\313\212","ji","ji","ji","chi",0,29
110,"\345\217\215","\343\204\210\343\204\242\313\207","fan","fan","fan","fan",0,0
111,"\345\243\254","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,0
112,"\345\244\251","\343\204\212\343\204\247\343\204\242","tian","tian","tian","tien",0,2
113,"\345\244\253","\343\204\210\343\204\250","fu","fu","fu","fu",0,0
114,"\345\244\252","\343\204\212\343\204\236\313\213","tai","tai","tai","tai",0,1
115,"\345\244\255","\343\204\247\343\204\240","yao","yao","yau","yao",0,0
116,"\345\255\224","\343\204\216\343\204\250\343\204\245\313\207","kong","kong","kung","kung",10,0
117,"\345\260\221","\343\204\225\343\204\240\313\207","shao","shao","shau","shao",0,0
118,"\345\260\244","\343\204\247\343\204\241\313\212","you","you","you","yu",10,0
119,"\345\260\272","\343\204\224\313\207","chih","chi","chr","chih",0,0
120,"\345\261\257","\343\204\212\343\204\250\343\204\243\313\212","tun","tun","tuen","tun",0,0
121,"\345\267\264","\343\204\205\343\204\232","ba","ba","ba","pa",10,0
122,"\345\271\273","\343\204\217\343\204\250\343\204\242\313\213","huan","huan","huan","huan",0,0
123,"\345\273\277","\343\204\213\343\204\247\343\204\242\313\213","nian","nian","nian","nien",0,0
124,"\345\274\224","\343\204\211\343\204\247\343\204\240\313\213","diao","diao","diau","tiao",0,0
125,"\345\274\225","\343\204\247\343\204\243\313\207","yin","yin","yin","yin",0,0
126,"\345\277\203","\343\204\222\343\204\247\343\204\243","sin","xin","shin","hsin",0,41
127,"\346\210\210","\343\204\215\343\204\234","ge","ge","ge","ke",10,0
128,"\346\210\266","\343\204\217\343\204\250\313\213","hu","hu","hu","hu",0,0
129,"\346\211\213","\343\204\225\343\204\241\313\207","shou","shou","shou","shou",0,0
130,"\346\211\216","\343\204\223\343\204\232","jha","zha","ja","cha",0,0
131,"\346\224\257","\343\204\223","jhih","zhi","jr","chih",0,0
132,"\346\226\207","\343\204\250\343\204\243\313\212","wun","wen","wen","wen",10,77
133,"\346\226\227","\343\204\211\343\204\241\313\207","dou","dou","dou","tou",0,0
134,"\346\226\244","\343\204\220\343\204\247\343\204\243","jin","jin","jin","chin",0,0
135,"\346\226\271","\343\204\210\343\204\244","fang","fang","fang","fang",10,0
136,"\346\227\245","\343\204\226\313\213","rih","ri","r","jih",0,0
137,"\346\233\260","\343\204\251\343\204\235","yue","yue","yue","yueh",0,0
138,"\346\234\210","\343\204\251\343\204\235\313\213","yue","yue","yue","yueh",0,0
139,"\346\234\250","\343\204\207\343\204\250\313\213","mu","mu","mu","mu",0,66
140,"\346\254\240","\343\204\221\343\204\247\343\204\242\313\213","cian","qian","chian","chien",0,0
141,"\346\255\242","\343\204\223\313\207","jhih","zhi","jr","chih",0,0
142,"\346\255\271","\343\204\211\343\204\236\313\207","dai","dai","dai","tai",0,0
143,"\346\257\213","\343\204\250\313\212","wu","wu","wu","wu",0,0
144,"\346\257\224","\343\204\205\343\204\247\313\207","bi","bi","bi","pi",0,0
145,"\346\257\233","\343\204\207\343\204\240\313\212","mao","mao","mau","mao",10,0
146,"\346\260\217","\343\204\223","jhih","zhi","jr","chih",0,0
147,"\346\260\264","\343\204\225\343\204\250\343\204\237\313\207","shuei","shui","shuei","shui",10,0
148,"\347\201\253","\343\204\217\343\204\250\343\204\233\313\207","huo","huo","huo","huo",0,0
149,"\347\210\252","\343\204\223\343\204\240\313\207","jhao","zhao","jau","chao",0,0
150,"\347\210\266","\343\204\210\343\204\250\313\207","fu","fu","fu","fu",0,0
151,"\347\210\273","\343\204\247\343\204\240\313\212","yao","yao","yau","yao",0,0
152,"\347\211\207","\343\204\206\343\204\247\343\204\242\313\213","pian","pian","pian","pien",0,0
153,"\347\211\231","\343\204\247\343\204\232\313\212","ya","ya","ya","ya",0,0
154,"\347\211\233","\343\204\213\343\204\247\343\204\241\313\212","niou","niu","niou","niu",10,0
155,"\347\212\254","\343\204\221\343\204\251\343\204\242\313\212","cyuan","quan","chiuan","chuan",0,0
156,"\347\216\213","\343\204\250\343\204\244\313\212","wang","wang","wang","wang",126,0
157,"\344\270\231","\343\204\205\343\204\247\343\204\245\313\207","bing","bing","bing","ping",0,0
158,"\344\270\226","\343\204\225\313\213","shih","shi","shr","shih",0,0
159,"\344\270\225","\343\204\206\343\204\247","pi","pi","pi","pi",0,0
160,"\344\270\224","\343\204\221\343\204\247\343\204\235\313\207","cie","qie","chie","chieh",0,0
161,"\344\270\230","\343\204\221\343\204\247\343\204\241","aiou","qiu","chiou","chiu",10,0
162,"\344\270\273","\343\204\223\343\204\250\313\207","jhu","zhu","ju","chu",0,0
163,"\344\271\215","\343\204\223\343\204\232\313\213","jha","zha","ja","cha",0,0
164,"\344\271\217","\343\204\210\343\204\232\313\212","fa","fa","fa","fa",0,0
165,"\344\271\216","\343\204\217\343\204\250","hu","hu","hu","hu",0,0
166,"\344\273\245","\343\204\247\313\207","yi","yi","yi","yi",0,0
167,"\344\273\230","\343\204\210\343\204\250\313\213","fu","fu","fu","fu",0,0
168,"\344\273\224","\343\204\227\313\207","zih","zi","tz","tzu",0,0
169,"\344\273\225","\343\204\225\313\213","shih","shi","shr","shih",0,0
170,"\344\273\226","\343\204\212\343\204\232","ta","ta","ta","ta",0,0
171,"\344\273\227","\343\204\223\343\204\244\313\213","jhang","zhang","jang","chang",0,0
172,"\344\273\243","\343\204\211\343\204\236\313\213","dai","dai","dai","tai",0,0
173,"\344\273\244","\343\204\214\343\204\247\343\204\245\313\213","ling","ling","ling","ling",0,0
174,"\344\273\231","\343\204\222\343\204\247\343\204\242","sian","xian","shian","hsien",0,0
175,"\344\273\236","\343\204\226\343\204\243\313\213","ren","ren","ren","jen",0,0
176,"\345\205\205","\343\204\224\343\204\250\343\204\245","chong","chong","chung","chung",0,0
177,"\345\205\204","\343\204\222\343\204\251\343\204\245","syong","xiong","shiung","hsiung",1,0
178,"\345\206\211","\343\204\226\343\204\242\313\207","ran","ran","ran","jan",10,0
179,"\345\206\212","\343\204\230\343\204\234\313\213","ce","ce","tse","tse",0,0
180,"\345\206\254","\343\204\211\343\204\250\343\204\245","dong","dong","dung","tung",0,0
181,"\345\207\271","\343\204\240","ao","ao","au","ao",0,0
182,"\345\207\272","\343\204\224\343\204\250","chu","chu","chu","chu",0,0
183,"\345\207\270","\343\204\212\343\204\250\313\212","tu","tu","tu","tu",0,0
184,"\345\210\212","\343\204\216\343\204\242","kan","kan","kan","kan",0,0
185,"\345\212\240","\343\204\220\343\204\247\343\204\232","jia","jia","jia","chia",0,0
186,"\345\212\237","\343\204\215\343\204\250\343\204\245","gong","gong","gung","kung",0,0
187,"\345\214\205","\343\204\205\343\204\240","bao","bao","bau","pao",10,0
188,"\345\214\206","\343\204\230\343\204\250\343\204\245","cong","cong","tsung","tsung",0,0
189,"\345\214\227","\343\204\205\343\204\237\313\207","bei","bei","bei","pei",0,0
190,"\345\214\235","\343\204\227\343\204\232","za","za","tza","tsa",0,0
191,"\344\273\237","\343\204\221\343\204\247\343\204\242","cian","qian","chian","chien",0,0
192,"\345\215\212","\343\204\205\343\204\242\313\213","ban","ban","ban","pan",0,0
193,"\345\215\211","\343\204\217\343\204\250\343\204\237\313\213","huei","hui","huei","hui",0,0
194,"\345\215\241","\343\204\216\343\204\232\313\207","ka","ka","ka","ka",0,0
195,"\345\215\240","\343\204\223\343\204\242","jhan","zhan","jan","chan",0,0
196,"\345\215\257","\343\204\207\343\204\240\313\207","mao","mao","mau","mao",0,0
197,"\345\215\256","\343\204\223","jhih","zhi","jr","chih",0,0
198,"\345\216\273","\343\204\221\343\204\251\313\213","cyu","qu","chiu","chu",0,0
199,"\345\217\257","\343\204\216\343\204\234\313\207","ke","ke","ke","ke",0,0
200,"\345\217\244","\343\204\215\343\204\250\313\207","gu","gu","gu","ku",10,0
201,"\345\217\263","\343\204\247\343\204\241\313\213","you","you","you","yu",0,0
202,"\345\217\254","\343\204\223\343\204\240","jhao","zhao","jau","chao",0,0
203,"\345\217\256","\343\204\211\343\204\247\343\204\245","ding","ding","ding","ting",0,0
204,"\345\217\251","\343\204\216\343\204\241\313\213","kou","kou","kou","kou",0,0
205,"\345\217\250","\343\204\211\343\204\240","dao","dao","dau","tao",0,0
206,"\345\217\274","\343\204\211\343\204\247\343\204\240","diao","diao","diau","tiao",0,0
207,"\345\217\270","\343\204\231","sih","si","sz","ssu",10,0
208,"\345\217\265","\343\204\206\343\204\233\313\207","po","po","po","po",0,0
209,"\345\217\253","\343\204\220\343\204\247\343\204\240\313\213","jiao","jiao","jiau","chiao",0,0
210,"\345\217\246","\343\204\214\343\204\247\343\204\245\313\213","ling","ling","ling","ling",0,0
211,"\345\217\252","\343\204\223","jhih","zhi","jr","chih",0,0
212,"\345\217\262","\343\204\225\313\207","shih","shi","shr","shih",10,0
213,"\345\217\261","\343\204\224\313\213","chih","chi","chr","chih",0,0
214,"\345\217\260","\343\204\212\343\204\236\313\212","tai","tai","tai","tai",0,0
215,"\345\217\245","\343\204\215\343\204\241","gou","gou","gou","kou",0,0
216,"\345\217\255","\343\204\205\343\204\232","ba","ba","ba","pa",0,0
217,"\345\217\273","\343\204\214\343\204\234\313\213","le","le","le","le",0,0
218,"\345\233\233","\343\204\231\313\213","sih","si","sz","ssu",0,0
219,"\345\233\232","\343\204\221\343\204\247\343\204\241\313\212","aiou","qiu","chiou","chiu",0,0
220,"\345\244\226","\343\204\250\343\204\236\313\213","wai","wai","wai","wai",0,0
221,"\345\244\256","\343\204\247\343\204\244","yang","yang","yang","yang",0,0
222,"\345\244\261","\343\204\225","shih","shi","shr","shih",0,0
223,"\345\245\264","\343\204\213\343\204\250\313\212","nu","nu","nu","nu",0,0
224,"\345\245\266","\343\204\213\343\204\236\313\207","nai","nai","nai","nai",0,0
225,"\345\255\225","\343\204\251\343\204\243\313\213","yun","yun","yun","yun",0,0
226,"\345\256\203","\343\204\212\343\204\232","ta","ta","ta","ta",0,0
227,"\345\260\274","\343\204\213\343\204\247\313\212","ni","ni","ni","ni",0,0
228,"\345\267\250","\343\204\220\343\204\251\313\213","jyu","ju","jiu","chu",0,0
229,"\345\267\247","\343\204\221\343\204\247\343\204\240\313\207","ciao","qiao","chiau","chiao",0,0
230,"\345\267\246","\343\204\227\343\204\250\343\204\233\313\207","zuo","zuo","tzuo","tso",10,0
231,"\345\270\202","\343\204\225\313\213","shih","shi","shr","shih",0,0
232,"\345\270\203","\343\204\205\343\204\250\313\213","bu","bu","bu","pu",0,0
233,"\345\271\263","\343\204\206\343\204\247\343\204\245\313\212","ping","ping","ping","ping",0,0
234,"\345\271\274","\343\204\247\343\204\241\313\213","you","you","you","yu",0,0
235,"\345\274\201","\343\204\205\343\204\247\343\204\242\313\213","bian","bian","bian","pien",0,0
236,"\345\274\230","\343\204\217\343\204\250\343\204\245\313\212","hong","hong","hung","hung",0,0
237,"\345\274\227","\343\204\210\343\204\250\313\212","fu","fu","fu","fu",0,0
238,"\345\277\205","\343\204\205\343\204\247\313\213","bi","bi","bi","pi",0,0
239,"\346\210\212","\343\204\250\313\213","wu","wu","wu","wu",0,0
240,"\346\211\223","\343\204\211\343\204\232\313\207","da","da","da","ta",0,0
241,"\346\211\224","\343\204\226\343\204\245","reng","reng","reng","jeng",0,0
242,"\346\211\222","\343\204\205\343\204\232","ba","ba","ba","pa",0,0
243,"\346\211\221","\343\204\206\343\204\250","pu","pu","pu","pu",0,0
244,"\346\226\245","\343\204\224\313\213","chih","chi","chr","chih",0,0
245,"\346\227\246","\343\204\211\343\204\242\313\213","dan","dan","dan","tan",0,0
246,"\346\234\256","\343\204\223\343\204\250\313\212","jhu","zhu","ju","chu",0,0
247,"\346\234\254","\343\204\205\343\204\243\313\207","ben","ben","ben","pen",0,0
248,"\346\234\252","\343\204\250\343\204\237\313\213","wei","wei","wei","wei",0,0
249,"\346\234\253","\343\204\207\343\204\233\313\213","mo","mo","mo","mo",0,0
250,"\346\234\255","\343\204\223\343\204\232\313\212","jha","zha","ja","cha",0,0
251,"\346\255\243","\343\204\223\343\204\245","jheng","zheng","jeng","cheng",0,3
252,"\346\257\215","\343\204\207\343\204\250\313\207","mu","mu","mu","mu",0,0
253,"\346\260\221","\343\204\207\343\204\247\343\204\243\313\212","min","min","min","min",0,0
254,"\346\260\220","\343\204\211\343\204\247","di","di","di","ti",0,0
255,"\346\260\270","\343\204\251\343\204\245\313\207","yong","yong","yung","yung",0,41
256,"\346\261\201","\343\204\223","jhih","zhi","jr","chih",0,0
257,"\346\261\200","\343\204\212\343\204\247\343\204\245","ting","ting","ting","ting",0,0
258,"\346\260\276","\343\204\210\343\204\242\313\213","fan","fan","fan","fan",0,0
259,"\347\212\257","\343\204\210\343\204\242\313\213","fan","fan","fan","fan",0,0
260,"\347\216\204","\343\204\222\343\204\251\343\204\242\313\212","syuan","xuan","shiuan","hsuan",0,0
261,"\347\216\211","\343\204\251\313\213","yu","yu","yu","yu",0,41
262,"\347\223\234","\343\204\215\343\204\250\343\204\232","gua","gua","gua","kua",0,0
263,"\347\223\246","\343\204\250\343\204\232\313\207","wa","wa","wa","wa",0,0
264,"\347\224\230","\343\204\215\343\204\242","gan","gan","gan","kan",10,0
265,"\347\224\237","\343\204\225\343\204\245","sheng","sheng","sheng","sheng",0,0
266,"\347\224\250","\343\204\251\343\204\245\313\213","yong","yong","yung","yung",0,0
267,"\347\224\251","\343\204\225\343\204\250\343\204\236\313\207","shuai","shuai","shuai","shuai",0,0
268,"\347\224\260","\343\204\212\343\204\247\343\204\242\313\212","tian","tian","tian","tien",10,0
269,"\347\224\261","\343\204\247\343\204\241\313\212","you","you","you","yu",0,0
270,"\347\224\262","\343\204\220\343\204\247\343\204\232\313\207","jia","jia","jia","chia",0,66
271,"\347\224\263","\343\204\225\343\204\243","shen","shen","shen","shen",10,0
272,"\347\226\213","\343\204\247\343\204\232\313\207","ya","ya","ya","ya",0,0
273,"\347\231\275","\343\204\205\343\204\233\313\212","bo","bo","bo","po",0,0
274,"\347\232\256","\343\204\206\343\204\247\313\212","pi","pi","pi","pi",10,0
275,"\347\232\277","\343\204\207\343\204\247\343\204\243\313\207","min","min","min","min",0,0
276,"\347\233\256","\343\204\207\343\204\250\313\213","mu","mu","mu","mu",0,0
277,"\347\237\233","\343\204\207\343\204\240\313\212","mao","mao","mau","mao",0,0
278,"\347\237\242","\343\204\225\313\207","shih","shi","shr","shih",0,0
279,"\347\237\263","\343\204\225\313\212","shih","shi","shr","shih",11,0
280,"\347\244\272","\343\204\225\313\213","shih","shi","shr","shih",0,0
281,"\347\246\276","\343\204\217\343\204\234\313\212","he","he","he","he",0,3
282,"\347\251\264","\343\204\222\343\204\251\343\204\235\313\212","syue","xue","shiue","hsueh",0,0
283,"\347\253\213","\343\204\214\343\204\247\313\213","li","li","li","li",0,0
284,"\344\270\236","\343\204\224\343\204\245\313\212","cheng","cheng","cheng","cheng",0,7
285,"\344\270\237","\343\204\211\343\204\247\343\204\241","diou","diu","diou","tiu",0,0
286,"\344\271\222","\343\204\206\343\204\247\343\204\245","ping","ping","ping","ping",0,0
287,"\344\271\223","\343\204\206\343\204\244","pang","pang","pang","pang",0,0
288,"\344\271\251","\343\204\220\343\204\247","ji","ji","ji","chi",0,0
289,"\344\272\231","\343\204\215\343\204\243\313\213","gen","gen","gen","ken",0,0
290,"\344\272\244","\343\204\220\343\204\247\343\204\240","jiao","jiao","jiau","chiao",0,0
291,"\344\272\246","\343\204\247\313\213","yi","yi","yi","yi",0,0
292,"\344\272\245","\343\204\217\343\204\236\313\213","hai","hai","hai","hai",0,0
293,"\344\273\277","\343\204\210\343\204\244\313\207","fang","fang","fang","fang",0,0
294,"\344\274\211","\343\204\216\343\204\244\313\213","kang","kang","kang","kang",0,0
295,"\344\274\231","\343\204\217\343\204\250\343\204\233\313\207","huo","huo","huo","huo",0,0
296,"\344\274\212","\343\204\247","yi","yi","yi","yi",11,0
297,"\344\274\225","\343\204\210\343\204\250","fu","fu","fu","fu",0,0
298,"\344\274\215","\343\204\250\313\207","wu","wu","wu","wu",10,0
299,"\344\274\220","\343\204\210\343\204\232","fa","fa","fa","fa",0,0
300,"\344\274\221","\343\204\222\343\204\247\343\204\241","siou","xiu","shiou","hsiu",0,0
301,"\344\274\217","\343\204\210\343\204\250\313\212","fu","fu","fu","fu",0,0
302,"\344\273\262","\343\204\223\343\204\250\343\204\245\313\213","jhong","zhong","jung","chung",10,8
303,"\344\273\266","\343\204\220\343\204\247\343\204\242\313\213","jian","jian","jian","chien",0,0
304,"\344\273\273","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",10,0
305,"\344\273\260","\343\204\247\343\204\244\313\207","yang","yang","yang","yang",0,0
306,"\344\273\263","\343\204\206\343\204\247\313\207","pi","pi","pi","pi",0,0
307,"\344\273\275","\343\204\210\343\204\243\313\213","fen","fen","fen","fen",0,0
308,"\344\274\201","\343\204\221\343\204\247\313\213","ci","qi","chi","chi",0,0
309,"\344\274\213","\343\204\220\343\204\247\313\212","ji","ji","ji","chi",0,0
310,"\345\205\211","\343\204\215\343\204\250\343\204\244","guang","guang","guang","kuang",0,0
311,"\345\205\207","\343\204\222\343\204\251\343\204\245","syong","xiong","shiung","hsiung",0,0
312,"\345\205\206","\343\204\223\343\204\240\313\213","jhao","zhao","jau","chao",0,0
313,"\345\205\210","\343\204\222\343\204\247\343\204\242","sian","xian","shian","hsien",0,0
314,"\345\205\250","\343\204\221\343\204\251\343\204\242\313\212","cyuan","quan","chiuan","chuan",10,1
315,"\345\205\261","\343\204\215\343\204\250\343\204\245","gong","gong","gung","kung",0,0
316,"\345\206\215","\343\204\227\343\204\236\313\213","zai","zai","tzai","tsai",0,0
317,"\345\206\260","\343\204\205\343\204\247\343\204\245","bing","bing","bing","ping",0,0
318,"\345\210\227","\343\204\214\343\204\247\343\204\235\313\213","lie","lie","lie","lieh",0,0
319,"\345\210\221","\343\204\222\343\204\247\343\204\245\313\212","sing","xing","shing","hsing",0,0
320,"\345\210\222","\343\204\217\343\204\250\343\204\232\313\212","hua","hua","hua","hua",0,0
321,"\345\210\216","\343\204\250\343\204\243\313\207","wun","wen","wen","wen",0,0
322,"\345\210\226","\343\204\251\343\204\235\313\213","yue","yue","yue","yueh",0,0
323,"\345\212\243","\343\204\214\343\204\247\343\204\235\313\213","lie","lie","lie","lieh",0,0
324,"\345\214\210","\343\204\222\343\204\251\343\204\245","syong","xiong","shiung","hsiung",0,0
325,"\345\214\241","\343\204\216\343\204\250\343\204\244","kuang","kuang","kuang","kuang",10,0
